Table Range A2:AS541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTY,JURS NAME,Planning period progress,Planning Period Length (Years),Planning Period Half-Way Point,1st APR,Last APR,Planning period beginning,Planning period end,Planning period,RHNA VLI,VLI PERMITS,VLI DR UNITS,VLI (NDR) UNITS,VLI REMAINING UNITS,VLI % Complete,Prorated VLI RHNA,Excess VLI,RHNA LI,LI PERMITS,LI (DR) UNITS,LI (NDR) UNITS,LI REMAINING UNITS,Lower Permits,Lower Remain,LI % Complete,% Lower Complete,RHNA MOD,MOD PERMITS,MOD REMAINING UNITS,MOD % Complete,RHNA ABOVE MOD,ABOVE MOD PERMITS,ABOVE MOD REMAINING UNITS,ABOVE MOD % Complete,RHNA TOTAL,TOTAL PERMITS,TOTAL RHNA REMAIN,PRORATION FACTOR,10%,50%,EXEMPT,STATUS,Exempt but for 2019 APR,50% but for 2019 APR
SAN BERNARDINO,ADELANTO,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,633,,,,633,,317,0,459,,,,459,0,459,,0.00%,513,,513,,1236,,1236,,2841,,2841,0.5,YES,NO,NO,Successful,NO,NO
LOS ANGELES,AGOURA HILLS,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,31,0,0,0,31,0.00%,16,0,19,0,0,0,19,0,19,0.00%,0.00%,20,0,20,0.00%,45,41,4,91.11%,115,41,74,0.5,NO,YES,NO,Successful,NO,YES
ALAMEDA,ALAMEDA,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,444,55,55,0,389,12.39%,222,0,248,40,40,0,208,40,208,16.13%,16.13%,283,26,257,9.19%,748,499,249,66.71%,1723,620,1103,0.5,NO,YES,NO,Successful,NO,YES
ALAMEDA,ALAMEDA COUNTY,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,430,120,120,0,310,27.91%,215,0,227,90,73,17,137,90,137,39.65%,39.65%,295,35,260,11.86%,817,178,639,21.79%,1769,423,1346,0.5,YES,NO,NO,Successful,NO,NO
ALAMEDA,ALBANY,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,80,0,0,0,80,0.00%,40,0,53,0,0,0,53,0,53,0.00%,0.00%,57,21,36,36.84%,145,194,0,133.79%,335,215,169,0.5,NO,YES,NO,Successful,NO,YES
LOS ANGELES,ALHAMBRA,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,380,0,0,0,380,0.00%,190,0,224,0,0,0,224,0,224,0.00%,0.00%,246,3,243,1.22%,642,141,501,21.96%,1492,144,1348,0.5,YES,NO,NO,Successful,NO,NO
ORANGE,ALISO VIEJO,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,9,83,83,0,0,922.22%,5,78,7,335,335,0,0,413,0,4785.71%,5900.00%,7,424,0,6057.14%,16,0,16,0.00%,39,842,16,0.5,YES,NO,NO,Successful,NO,NO
ALPINE,ALPINE COUNTY,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,7,0,0,0,7,0.00%,7,0,6,3,0,3,3,3,3,50.00%,50.00%,6,4,2,66.67%,11,10,1,90.91%,30,17,13,1,YES,NO,NO,Successful,NO,NO
MODOC,ALTURAS,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,1,0,0,0,1,0.00%,1,0,1,0,0,0,1,0,1,0.00%,0.00%,1,0,1,0.00%,2,0,2,0.00%,5,0,5,1,YES,NO,NO,Successful,NO,NO
AMADOR,AMADOR,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,1,,,,1,,1,0,1,,,,1,0,1,,0.00%,0,,0,0.00%,0,,0,,2,,2,1,YES,NO,NO,No 2019 APR,NO,YES
AMADOR,AMADOR COUNTY,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,10,1,0,1,9,10.00%,10,0,7,6,1,5,1,6,1,85.71%,85.71%,9,34,0,377.78%,23,24,0,104.35%,49,65,10,1,NO,YES,NO,Successful,NO,YES
NAPA,AMERICAN CANYON,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,116,57,57,0,59,49.14%,58,0,54,40,37,3,14,40,14,74.07%,74.07%,58,141,0,243.10%,164,143,21,87.20%,392,381,94,0.5,NO,YES,NO,Successful,NO,YES
ORANGE,ANAHEIM,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,1256,71,71,0,1185,5.65%,628,0,907,22,22,0,885,22,885,2.43%,2.43%,1038,44,994,4.24%,2501,5290,0,211.52%,5702,5427,3064,0.5,NO,YES,NO,Successful,NO,YES
SHASTA,ANDERSON,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,32,23,23,0,9,71.88%,32,0,21,20,19,1,1,20,1,95.24%,95.24%,24,93,0,387.50%,59,60,0,101.69%,136,196,10,1,NO,YES,NO,Successful,NO,YES
CALAVERAS,ANGELS CAMP,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,39,1,0,1,38,2.56%,39,0,25,0,0,0,25,0,25,0.00%,0.00%,28,1,27,3.57%,69,19,50,27.54%,161,21,140,1,YES,NO,NO,Successful,NO,NO
CONTRA COSTA,ANTIOCH,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,349,88,86,2,261,25.21%,175,0,205,1,0,1,204,1,204,0.49%,0.49%,214,77,137,35.98%,680,423,257,62.21%,1448,589,859,0.5,NO,YES,NO,Successful,NO,YES
SAN BERNARDINO,APPLE VALLEY,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,764,0,0,0,764,0.00%,382,0,541,0,0,0,541,0,541,0.00%,0.00%,622,0,622,0.00%,1407,0,1407,0.00%,3334,0,3334,0.5,YES,NO,NO,Successful,NO,NO
LOS ANGELES,ARCADIA,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,276,0,0,0,276,0.00%,138,0,167,0,0,0,167,0,167,0.00%,0.00%,177,38,139,21.47%,434,101,333,23.27%,1054,139,915,0.5,YES,NO,NO,Successful,NO,NO
HUMBOLDT,ARCATA,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,85,43,43,0,42,50.59%,85,0,56,5,5,0,51,5,51,8.93%,8.93%,62,258,0,416.13%,160,57,103,35.63%,363,363,196,1,YES,NO,NO,Successful,NO,NO
SAN LUIS OBISPO,ARROYO GRANDE,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,60,0,0,0,60,0.00%,60,0,38,17,0,17,21,17,21,44.74%,44.74%,43,0,43,0.00%,101,59,42,58.42%,242,76,166,1,YES,NO,NO,Successful,NO,NO
LOS ANGELES,ARTESIA,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,31,0,0,0,31,0.00%,16,0,18,0,0,0,18,0,18,0.00%,0.00%,20,0,20,0.00%,51,55,0,107.84%,120,55,69,0.5,NO,YES,NO,Successful,NO,YES
KERN,ARVIN,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,398,0,0,0,398,0.00%,199,0,239,56,20,36,183,56,183,23.43%,23.43%,183,381,0,208.20%,349,0,349,0.00%,1169,437,930,0.5,YES,NO,NO,Successful,NO,NO
SAN LUIS OBISPO,ATASCADERO,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,98,48,48,0,50,48.98%,98,0,62,26,26,0,36,26,36,41.94%,41.94%,69,171,0,247.83%,164,244,0,148.78%,393,489,86,1,NO,YES,NO,Successful,NO,YES
SAN MATEO,ATHERTON,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,35,27,12,15,8,77.14%,18,9,26,13,0,13,13,22,4,50.00%,84.62%,29,3,26,10.34%,3,59,0,1966.67%,93,102,47,0.5,NO,NO,YES,Successful,YES,NO
MERCED,ATWATER,50.00%,8,2020,2016,2023,3/31/16,3/31/24,31-MAR-16 - 31-MAR-24,429,0,0,0,429,0.00%,215,0,307,0,0,0,307,0,307,0.00%,0.00%,281,0,281,0.00%,748,384,364,51.34%,1765,384,1381,0.5,YES,NO,NO,No 2019 APR,NO,YES
PLACER,AUBURN,75.00%,8,2018,2014,2021,10/31/13,10/31/21,31-OCT-13 - 31-OCT-21,74,0,0,0,74,0.00%,37,0,52,0,0,0,52,0,52,0.00%,0.00%,57,33,24,57.89%,125,63,62,50.40%,308,96,212,0.5,NO,YES,NO,Successful,NO,YES
LOS ANGELES,AVALON,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,20,0,0,0,20,0.00%,10,0,12,0,0,0,12,0,12,0.00%,0.00%,14,0,14,0.00%,34,4,30,11.76%,80,4,76,0.5,YES,NO,NO,Successful,NO,NO
KINGS,AVENAL,50.00%,8,2020,2016,2023,1/31/16,1/31/24,31-JAN-16 - 31-JAN-24,145,0,0,0,145,0.00%,73,0,108,39,39,0,69,39,69,36.11%,36.11%,115,37,78,32.17%,271,0,271,0.00%,639,76,563,0.5,YES,NO,NO,Successful,NO,NO
LOS ANGELES,AZUSA,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,198,0,0,0,198,0.00%,99,0,118,0,0,0,118,0,118,0.00%,0.00%,127,678,0,533.86%,336,0,336,0.00%,779,678,652,0.5,YES,NO,NO,Successful,NO,NO
KERN,BAKERSFIELD,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,9706,185,185,0,9521,1.91%,4853,0,5800,90,90,0,5710,90,5710,1.55%,1.55%,6453,4392,2061,68.06%,14331,5968,8363,41.64%,36290,10635,25655,0.5,YES,NO,NO,Successful,NO,NO
LOS ANGELES,BALDWIN PARK,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,142,47,47,0,95,33.10%,71,0,83,17,17,0,66,17,66,20.48%,20.48%,90,1,89,1.11%,242,127,115,52.48%,557,192,365,0.5,NO,YES,NO,Successful,NO,YES
RIVERSIDE,BANNING,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,872,0,0,0,872,0.00%,436,0,593,0,0,0,593,0,593,0.00%,0.00%,685,0,685,0.00%,1642,0,1642,0.00%,3792,0,3792,0.5,YES,NO,NO,Successful,NO,NO
