Table Range A2:U2594 ,,,,,,,,,,,,,,,,,,,,
CNTY_NAME,JURS_NAME,PLANNING PERIOD,YEAR,APR_STATUS,RHNA VLI,TOTAL VLI PERMITS,VLI DEED RESTRICTED UNITS,VLI NOT DEED RESTRICTED UNITS,RHNA LI,TOTAL LI PERMITS,LI DEED RESTRICTED UNITS,LI NOT DEED RESTRICTED UNITS,MOD RHNA,MOD UNITS,ABOVE MOD RHNA,ABOVE MOD UNITS,RHNA TOTAL,TOTAL UNITS YEAR SUBMITTED,APR YEAR (In planning period),1ST APR
PLACER,AUBURN,10/31/2013 - 10/31/2021,2013,Final,74,0,0,0,52,0,0,0,57,2,125,10,308,12,2014,2014
SAN DIEGO,CARLSBAD,04/30/2013 - 04/30/2021,2013,Final,912,35,35,0,693,29,28,1,1062,104,2332,1136,4999,1304,2013,2013
SAN DIEGO,CHULA VISTA,04/30/2013 - 04/30/2021,2013,Final,3209,69,69,0,2439,371,371,0,2257,302,4956,2300,12861,3042,2013,2013
SACRAMENTO,CITRUS HEIGHTS,10/31/2013 - 10/31/2021,2013,Final,146,0,0,0,102,1,0,1,130,0,318,1,696,2,2014,2014
PLACER,COLFAX,10/31/2013 - 10/31/2021,2013,Final,10,0,0,0,7,0,0,0,10,0,24,0,51,0,2014,2014
SAN DIEGO,CORONADO,04/30/2013 - 04/30/2021,2013,Final,13,12,12,0,9,0,0,0,9,0,19,113,50,125,2013,2013
YOLO,DAVIS,10/31/2013 - 10/31/2021,2013,Final,248,0,0,0,174,3,0,3,198,13,446,38,1066,54,2014,2014
SAN DIEGO,DEL MAR,04/30/2013 - 04/30/2021,2013,Final,7,0,0,0,5,0,0,0,15,0,34,7,61,7,2013,2013
SAN DIEGO,EL CAJON,04/30/2013 - 04/30/2021,2013,Final,1448,48,48,0,1101,2,2,0,1019,24,2237,12,5805,86,2013,2013
EL DORADO,EL DORADO COUNTY,10/31/2013 - 10/31/2021,2013,Final,1086,42,42,0,762,29,29,0,823,7,1757,685,4428,763,2014,2014
SACRAMENTO,ELK GROVE,10/31/2013 - 10/31/2021,2013,Final,2035,0,0,0,1427,0,0,0,1377,173,2563,196,7402,369,2014,2014
SAN DIEGO,ENCINITAS,04/30/2013 - 04/30/2021,2013,Final,587,32,31,1,446,10,9,1,413,0,907,283,2353,325,2013,2013
SAN DIEGO,ESCONDIDO,04/30/2013 - 04/30/2021,2013,Final,1042,46,46,0,791,44,44,0,733,7,1609,497,4175,594,2013,2013
SACRAMENTO,FOLSOM,10/31/2013 - 10/31/2021,2013,Final,1218,0,0,0,854,0,0,0,862,28,1699,302,4633,330,2014,2014
SACRAMENTO,GALT,10/31/2013 - 10/31/2021,2013,Final,131,0,0,0,91,0,0,0,126,0,331,41,679,41,2014,2014
SAN DIEGO,IMPERIAL BEACH,04/30/2013 - 04/30/2021,2013,Final,63,3,3,0,48,26,26,0,45,5,98,22,254,56,2013,2013
SAN DIEGO,LA MESA,04/30/2013 - 04/30/2021,2013,Final,430,18,18,0,326,0,0,0,302,279,664,241,1722,538,2013,2013
SAN DIEGO,LEMON GROVE,04/30/2013 - 04/30/2021,2013,Final,77,89,89,0,59,81,81,0,54,6,119,1,309,177,2013,2013
PLACER,LINCOLN,10/31/2013 - 10/31/2021,2013,Final,953,0,0,0,668,0,0,0,705,0,1464,246,3790,246,2014,2014
SUTTER,LIVE OAK,10/31/2013 - 10/31/2021,2013,Final,104,0,0,0,72,0,0,0,83,0,190,0,449,0,2014,2014
SAN DIEGO,NATIONAL CITY,04/30/2013 - 04/30/2021,2013,Final,465,0,0,0,353,8,8,0,327,0,718,67,1863,75,2013,2013
SAN DIEGO,OCEANSIDE,04/30/2013 - 04/30/2021,2013,Final,1549,267,244,23,1178,57,55,2,1090,102,2393,362,6210,788,2013,2013
PLACER,PLACER COUNTY,10/31/2013 - 10/31/2021,2013,Final,1365,0,0,0,957,18,4,14,936,2,1773,241,5031,261,2014,2014
EL DORADO,PLACERVILLE,10/31/2013 - 10/31/2021,2013,Final,78,0,0,0,55,0,0,0,69,5,170,47,372,52,2014,2014
SAN DIEGO,POWAY,04/30/2013 - 04/30/2021,2013,Final,201,26,26,0,152,26,26,0,282,0,618,64,1253,116,2013,2013
SACRAMENTO,RANCHO CORDOVA,10/31/2013 - 10/31/2021,2013,Final,1539,0,0,0,1079,0,0,0,1303,0,3087,331,7008,331,2014,2014
PLACER,ROCKLIN,10/31/2013 - 10/31/2021,2013,Final,1040,0,0,0,729,0,0,0,709,0,1335,0,3813,0,2014,2014
PLACER,ROSEVILLE,10/31/2013 - 10/31/2021,2013,Final,2268,0,0,0,1590,0,0,0,1577,142,3043,384,8478,526,2014,2014
SACRAMENTO,SACRAMENTO,10/31/2013 - 10/31/2021,2013,Final,4944,95,62,33,3467,137,24,113,4482,34,11208,153,24101,419,2014,2014
