Table Range A2: AV541 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTY,JURS NAME,Planning period progress,Planning Period Length (Years),Planning Period Half-Way Point,1st APR,Last APR,Planning period beginning,Planning period end,Planning period,RHNA VLI,VLI PERMITS,VLI (DR) UNITS,VLI (NDR) UNITS,VLI REMAINING UNITS,VLI % Complete,Prorated VLI RHNA,Excess VLI,RHNA LI,LI PERMITS,LI (DR) UNITS,LI (NDR) UNITS,LI REMAINING UNITS,Lower Permits,Lower Remain,LI % Complete,LOWER % Complete,RHNA MOD,MOD PERMITS,MOD REMAINING UNITS,MOD % Complete,RHNA ABOVE MOD,ABOVE MOD PERMITS,ABOVE MOD REMAINING UNITS,ABOVE MOD % Complete,RHNA TOTAL,TOTAL UNITS,TOTAL RHNA REMAIN,PRORATION FACTOR,ON PACE?,STATUS,Exempt but for 2019 APR,50% but for 2019 APR,On Pace (w/Mod)?,VLI ON PACE?,LI ON PACE?,VLI AND LI PACE?,ABOVE MOD ON PACE?
SAN BERNARDINO,ADELANTO,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,633,0,0,0,633,0.00%,317,0,459,0,0,0,459,0,459,0.00%,0.00%,513,0,513,0.00%,1236,90,1146,7.28%,2841,90,2751,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
LOS ANGELES,AGOURA HILLS,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,31,0,0,0,31,0.00%,16,0,19,0,0,0,19,0,19,0.00%,0.00%,20,0,20,0.00%,45,53,0,117.78%,115,53,62,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
ALAMEDA,ALAMEDA,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,444,86,86,0,358,19.37%,222,0,248,68,68,0,180,68,180,27.42%,27.42%,283,50,233,17.67%,748,1097,0,146.66%,1723,1301,422,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
ALAMEDA,ALAMEDA COUNTY,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,430,120,120,0,310,27.91%,215,0,227,116,73,43,111,116,111,51.10%,51.10%,295,35,260,11.86%,817,241,576,29.50%,1769,512,1257,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
ALAMEDA,ALBANY,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,80,0,0,0,80,0.00%,40,0,53,0,0,0,53,0,53,0.00%,0.00%,57,33,24,57.89%,145,201,0,138.62%,335,234,101,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
LOS ANGELES,ALHAMBRA,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,380,0,0,0,380,0.00%,190,0,224,2,2,0,222,2,222,0.89%,0.89%,246,3,243,1.22%,642,279,363,43.46%,1492,284,1208,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
ORANGE,ALISO VIEJO,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,9,83,83,0,0,922.22%,5,78,7,335,335,0,0,413,0,4785.71%,5900.00%,7,424,0,6057.14%,16,0,16,0.00%,39,842,0,0.5,NO,Successful,NO,NO,NO,YES,YES,YES,NO
ALPINE,ALPINE COUNTY,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,7,0,0,0,7,0.00%,7,0,6,5,0,5,1,5,1,83.33%,83.33%,6,4,2,66.67%,11,10,1,90.91%,30,19,11,1,NO,Successful,NO,NO,NO,NO,NO,NO,NO
MODOC,ALTURAS,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,1,0,0,0,1,0.00%,1,0,1,1,0,1,0,1,0,100.00%,100.00%,1,0,1,0.00%,2,0,2,0.00%,5,1,4,1,NO,Successful,NO,NO,NO,NO,YES,NO,NO
AMADOR,AMADOR,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,1,,,,1,,1,0,1,,,,1,0,1,,0.00%,0,,0,0.00%,0,,0,,2,,2,1,NO,No 2019 APR,NO,YES,NO,NO,NO,NO,YES
AMADOR,AMADOR COUNTY,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,10,1,0,1,9,10.00%,10,0,7,7,1,6,0,7,0,100.00%,100.00%,9,47,0,522.22%,23,38,0,165.22%,49,93,0,1,NO,Successful,NO,YES,NO,NO,YES,NO,YES
NAPA,AMERICAN CANYON,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,116,58,57,1,58,50.00%,58,0,54,40,37,3,14,40,14,74.07%,74.07%,58,141,0,243.10%,164,143,21,87.20%,392,382,10,0.5,NO,Successful,YES,NO,NO,NO,YES,NO,YES
ORANGE,ANAHEIM,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,1256,114,114,0,1142,9.08%,628,0,907,32,32,0,875,32,875,3.53%,3.53%,1038,49,989,4.72%,2501,7182,0,287.17%,5702,7377,0,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
