"","city","latitude","longitude"
"1","Acalanes Ridge",37.9,-122.08
"2","Acampo",38.17,-121.28
"3","Acton",34.5,-118.19
"4","Adelanto city",34.59,-117.44
"5","Adin",41.2,-120.95
"6","Agoura Hills city",34.15,-118.76
"7","Agua Dulce",34.5,-118.32
"8","Aguanga",33.45,-116.86
"9","Ahwahnee",37.37,-119.72
"10","Airport",37.63,-120.98
"11","Alameda city",37.76,-122.27
"12","Alamo",37.85,-122.01
"13","Albany city",37.88,-122.33
"14","Albion",39.23,-123.76
"15","Alderpoint",40.16,-123.62
"16","Alhambra city",34.08,-118.14
"17","Alhambra Valley",37.97,-122.14
"18","Aliso Viejo city",33.58,-117.73
"19","Alleghany",39.47,-120.84
"20","Allendale",38.44,-121.98
"21","Allensworth",35.85,-119.39
"22","Almanor",40.21,-121.18
"23","Alondra Park",33.89,-118.33
"24","Alpaugh",35.89,-119.49
"25","Alpine",32.84,-116.76
"26","Alpine Village",38.79,-119.8
"27","Alta",39.21,-120.8
"28","Alta Sierra",39.12,-121.05
"29","Altadena",34.19,-118.14
"30","Alto",37.91,-122.52
"31","Alturas city",41.49,-120.55
"32","Alum Rock",37.37,-121.83
"33","Amador City city",38.42,-120.82
"34","American Canyon city",38.18,-122.26
"35","Amesti",36.96,-121.78
"36","Anaheim city",33.84,-117.86
"37","Anchor Bay",38.81,-123.57
"38","Anderson city",40.45,-122.3
"39","Angels city",38.07,-120.55
"40","Angwin",38.58,-122.45
"41","Antelope",38.72,-121.36
"42","Antioch city",37.98,-121.8
"43","Anza",33.57,-116.7
"44","Apple Valley town",34.53,-117.21
"45","Aptos",36.99,-121.89
"46","Aptos Hills-Larkin Valley",36.96,-121.83
"47","Arbuckle",39.01,-122.06
"48","Arcadia city",34.13,-118.04
"49","Arcata city",40.86,-124.08
"50","Arden-Arcade",38.6,-121.38
"51","Armona",36.32,-119.71
"52","Arnold",38.24,-120.35
"53","Aromas",36.88,-121.64
"54","Arroyo Grande city",35.12,-120.58
"55","Artesia city",33.87,-118.08
"56","Artois",39.63,-122.19
"57","Arvin city",35.19,-118.83
"58","Ashland",37.69,-122.12
"59","Aspen Springs",37.55,-118.71
"60","Atascadero city",35.48,-120.69
"61","Atherton town",37.45,-122.2
"62","Atwater city",37.35,-120.6
"63","Auberry",37.08,-119.49
"64","Auburn city",38.89,-121.08
"65","Auburn Lake Trails",38.89,-120.98
"66","August",37.98,-121.26
"67","Avalon city",33.33,-118.33
"68","Avenal city",36.03,-120.12
"69","Avery",38.19,-120.38
"70","Avilla Beach",35.2,-120.72
"71","Avocado Heights",34.04,-118
"72","Azusa city",34.14,-117.91
"73","Baker",35.28,-116.07
"74","Bakersfield city",35.35,-119.03
"75","Baldwin Park city",34.08,-117.97
"76","Ballard",34.63,-120.12
"77","Ballico",37.45,-120.7
"78","Bangor",39.38,-121.41
"79","Banning city",33.95,-116.9
"80","Barstow city",34.87,-117.05
"81","Bass Lake",37.33,-119.57
"82","Bay Point",38.03,-121.96
"83","Bayview",40.77,-124.18
"84","Bayview",38.01,-122.32
"85","Beale AFB",39.11,-121.35
"86","Bear Creek",37.3,-120.42
"87","Bear Valley",37.57,-120.12
"88","Bear Valley",38.47,-120.05
"89","Bear Valley Springs",35.18,-118.65
"90","Beaumont city",33.91,-116.98
"91","Beckwourth",39.85,-120.41
"92","Belden",40,-121.25
"93","Bell Canyon",34.21,-118.69
"94","Bell city",33.98,-118.18
"95","Bell Gardens city",33.97,-118.16
"96","Bella Vista",40.65,-122.24
"97","Bellflower city",33.89,-118.13
"98","Belmont city",37.52,-122.3
"99","Belvedere city",37.87,-122.47
"100","Ben Lomond",37.08,-122.09
"101","Benbow",40.06,-123.77
"102","Bend",40.26,-122.21
"103","Benicia city",38.07,-122.15
"104","Benton",37.82,-118.48
"105","Berkeley city",37.87,-122.3
"106","Bermuda Dunes",33.74,-116.29
"107","Berry Creek",39.63,-121.41
"108","Bertsch-Oceanview",41.75,-124.16
"109","Bethel Island",38.03,-121.64
"110","Beverly Hills city",34.08,-118.4
"111","Bieber",41.13,-121.13
"112","Big Bear City",34.25,-116.79
"113","Big Bear Lake city",34.24,-116.9
"114","Big Bend",41.01,-121.92
"115","Big Creek",37.2,-119.25
"116","Big Lagoon",41.16,-124.13
"117","Big Pine",37.17,-118.3
"118","Big River",34.14,-114.36
"119","Biggs city",39.41,-121.71
"120","Biola",36.8,-120.02
"121","Bishop city",37.37,-118.4
"122","Black Point-Green Point",38.11,-122.52
"123","Blackhawk",37.82,-121.91
"124","Blacklake",35.05,-120.54
"125","Blairsden",39.78,-120.61
"126","Bloomfield",38.32,-122.85
"127","Bloomington",34.06,-117.4
"128","Blue Lake city",40.88,-123.99
"129","Blythe city",33.62,-114.62
"130","Bodega Bay",38.32,-123.03
"131","Bodega",38.35,-122.97
"132","Bodfish",35.58,-118.48
"133","Bolinas",37.92,-122.71
"134","Bombay Beach",33.35,-115.73
"135","Bonadelle Ranchos-Madera Ranchos",36.96,-119.89
"136","Bonita",32.67,-117.03
"137","Bonny Doon",37.04,-122.14
"138","Bonsall",33.28,-117.19
"139","Boonville",39.01,-123.37
"140","Bootjack",37.47,-119.89
"141","Boron",35.02,-117.67
"142","Boronda",36.69,-121.67
"143","Borrego Springs",33.24,-116.36
"144","Bostonia",32.82,-116.95
